title,company,location,job_type,date_posted
Assistant(e) Achat Bilingue,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Mbour, Sindia",CDD,Publié le 14 mai 2025
Agents Commerciaux,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Cambérene, Dakar, Sénégal",CDD,Publié le 14 mai 2025
Territory Manager (Attaché(e) Commercial(e) de Zone),Vivo Energy,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Sales Administrator – English & French,AZA Finance,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Diesel Engine Senior Technician,SERVTEC,"Dakar, Sénégal",CDI,Publié le 14 mai 2025
Responsable d’Investissements,Michael Page,"Dakar, Sénégal",CDD,Publié le 14 mai 2025
Développeur fullstack,Senumerik,"Dakar, Sénégal",Stage,Publié le 14 mai 2025
Chargé(e) de Recrutement et de Formation,"AMD CorporateAdvising, Managing and Developing Corporate","Dakar, Sénégal",CDD,Publié le 14 mai 2025
Chargé(e) création de contenu / Community Manager,Grazeina Technologies,LIberté 6 Extension VDN,CDD,Publié le 14 mai 2025
Conducteurs d’engins pour le Canada,"AMD CorporateAdvising, Managing and Developing Corporate",Canada,CDD,Publié le 14 mai 2025
Dessinateur (trice),INTUITION AFRICA,"Dakar, Sénégal",Prestation de Services,Publié le 13 mai 2025
Commercial pour la vente de portes blindées,"Arrow Home GroupVotre maison, notre passion",Rue me 12 Malick Sy Dakar,Prestation de Services,Publié le 13 mai 2025
Commerciaux terrain,DIGITASSURE,"Dakar + Banlieue (Grand Yoff, Pikine, Guédiawaye, Rufisque, etc.)",Freelance,Publié le 13 mai 2025
Agent de sécurité,Fouta Poids Lourds,"Rond point Zac Mbao, Dakar, Sénégal",CDD,Publié le 13 mai 2025
Offre de Stage – Business Developer,PSV Operations,Remote,Stage,Publié le 13 mai 2025
Offre de Stage – Marketing & Design Graphique,PSV Operations,Remote,Stage,Publié le 13 mai 2025
Chargé(e) production et approvisionnement,ArrawTech,"Fann, Dakar, Sénégal",Stage,Publié le 13 mai 2025
Télévendeur – Courtier en Assurance,Santé Malin,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
Consultancy – WASH Innovative Finance Specialist,UNICEF,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
Program Development Manager,RMO Sénégal,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
Graduate Program – Ingénieur(e) Travaux F/H,VINCI Construction,"Dakar, Sénégal",CDI,Publié le 13 mai 2025
Senior Airport Services Agent,Emirates,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
Graphiste Print et Digital,ALIMA,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
Agents de sécurité,Axess Sécurité,"Liberté 6, en face UNO",Stage,Publié le 13 mai 2025
Gérant de Poissonnerie – Spécialiste Documentation Export,Dailycatch.app,"Hann Maristes, Dakar, Sénégal",CDD,Publié le 13 mai 2025
"Regional Officer, Air Transport Development/Implementation Support",ICAO South American Regional Office,"Dakar, Sénégal",CDD,Publié le 13 mai 2025
